Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75200653,,,,,,,89.60157013,88.5026474,93.56070709,99.32177734,89.54144287,,84.70526123,85.43070984,85.68183136,,,87.97823334,93.87223053,94.86218262,96.79145813,96.87210083,95.36003876
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,86.58670044,89.86927795,93.96598816,92.46009827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,72.49385834,,76.43888855,74.35294342,,76.79605103,51.89434814,,,,,,,,,,,,,,99.02224731,,,,,,,,78.10842896,,,,,,,112.2689133,120.9835129,120.3678284,117.4326935,116.3052368,125.5677032,,115.4820099,118.4574585,,115.1853027,118.9020615,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,135.0711365,132.8747559,143.645752,148.5580292,155.5344391,,,,,,,,,,,,,,,,,,147.5843964,144.4012909,144.5345306,132.3542175,139.6168365,135.490799,133.3471832,130.5630798,
Austria,AUT,,83.15617371,,,,,84.55239105,,,,,88.13684082,87.75170135,89.02072144,89.39354706,92.35913849,94.78649139,95.45842743,97.05101013,97.93627167,98.53047943,98.8182373,99.42949677,100.1698303,101.3773727,101.7755585,102.0507507,102.1130676,94.61711884,95.83386993,96.37793732,96.77340698,96.49458313,96.9213028,96.55132294,97.78806305,98.42021942,98.10642242,98.00293732,98.30626678,98.28147888,97.58538818,98.16639709,99.43067169,99.41703796,99.7147522,99.12381744,98.83361816,98.94316864,100.0493469,100.287178,101.0847092,100.4536285,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6571579,107.7585526,90.43894196,90.4878006,88.78762054,90.95023346
Burundi,BDI,,0.689059973,0.76335001,0.725610018,1.009269953,1.28658998,1.423290014,1.504109979,1.548529983,1.611750007,1.646389961,1.768679976,2.144759893,1.82735002,1.950139999,2.224780083,2.335319996,2.72694993,2.90644002,3.290709972,3.61461997,3.924240112,4.29666996,4.860919952,,,,,,,,,,9.150970459,10.41462994,11.3175602,12.51358986,13.18970966,,18.02070045,20.41921043,23.39233971,26.39163017,31.6296196,38.79816818,43.90119171,48.99586868,51.11782074,50.54187012,46.30809021,50.88605118,,,
Belgium,BEL,,79.24243164,80.85256195,82.23503876,82.93354034,83.33856964,83.46365356,85.53408051,88.37560272,89.79927826,91.50833893,93.00701904,94.7232666,95.48544312,97.22116089,99.38596344,100.4377518,101.0294037,102.7686996,104.0402679,105.1447906,105.2181625,105.4496689,146.7843933,147.6594086,149.4046631,149.1394196,,,148.2475433,154.3563385,164.4219818,166.8294983,166.8530121,158.9733582,166.3363342,168.2620087,169.7912598,171.8412476,171.1729126,171.3410034,170.0056458,171.2740784,172.6896973,172.866333,174.8371735,170.4004669,168.2164917,165.9850922,166.0644836,160.8961334,150.5850067,151.8265839,
Benin,BEN,,2.474649906,,3.694829941,4.158140182,5.130410194,,4.781589985,,,,,,,,10.47280025,8.822429657,8.250740051,,,,,,,,,,,,12.67506027,13.09519005,14.51714993,15.7741003,16.50745964,17.78793907,,,,,,,36.49802017,,43.50138092,44.77101135,47.90018082,49.59453964,,,,40.94861984,41.85868835,41.91851044,
Burkina Faso,BFA,,0.751600027,0.755270004,0.848649979,1.003309965,1.073699951,1.126530051,1.131610036,,1.394520044,1.791910052,1.772040009,2.066839933,2.001539946,2.194570065,2.66283989,3.045459986,,,,,,,,5.745419979,,,,,7.113599777,7.824440002,8.009429932,,9.17953968,10.16333961,11.10461044,11.91184998,12.94318962,15.33977032,16.58499908,18.30542946,20.26184082,22.55267906,25.26556969,27.55096054,31.5587101,34.0694809,36.65879059,39.63703156,40.72457886,40.39416885,40.28633118,36.24497986,33.73114014
